Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
484571446,2020-04-08T05:56:58.847258,,Photos,Camilla Engevik,KlippekortiStock,,Portrait of smiling young man against white background,Portrait of smiling young man against white background. Man wearing casual clothing and standing against white background. Vertical composition. Image developed from Raw format.,iStock,iStockphoto,3173 x 4951 px (26.86 x 41.92 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
153881961,2020-04-08T05:56:58.8453806,,Photos,Camilla Engevik,KlippekortiStock,,young woman portrait with a toothy smile,young woman with a beautiful smileyoung woman with a beautiful smile,iStock,iStockphoto,2848 x 4288 px (24.11 x 36.31 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
467907050,2020-04-08T05:56:58.843203,,Photos,Camilla Engevik,KlippekortiStock,,Nurse bringing supplies to woman in retirement home,Nurse bringing supplies to senior woman in retirement home,iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1166472912,2020-04-08T05:56:58.8409901,,Photos,Camilla Engevik,KlippekortiStock,,Ultrasonic scraber. Procedure of ultrasonic cleaning of face. Cosmetological clinic. Cosmetic procedure. Modern equipment,Ultrasonic scraber. Procedure of ultrasonic cleaning of face. Cosmetological clinic. Cosmetic procedure. Modern equipment.,iStock,iStockphoto,5687 x 3792 px (48.15 x 32.11 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
516446317,2020-04-08T05:56:58.838848,,Photos,Camilla Engevik,KlippekortiStock,,Mechanic reading instructions under open hood,Mechanic reading instructions manual and replacing broken part,iStock,iStockphoto,2912 x 4368 px (24.65 x 36.98 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1165143799,2020-04-08T05:56:58.8366886,,Illustrations,Camilla Engevik,KlippekortiStock,,"Beowulf fighting against a dragon, medieval English poem, chromolithograph, 1896","Beowulf fighting against a dragon. Scene from the early medieval epic poem ""Beowulf"". It is one of the most important works of Old English literature and was probably created after the year 700 and plays in the time before 600 AD in Scandinavia. Chromolithograph after drawing by Walter Zweigle (German painter, 1859 - 1904), published in 1896.",DigitalVision Vectors,Digital Vision Vectors,5916 x 8451 px (50.09 x 71.55 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1007798342,2020-04-08T05:56:58.8349239,,Photos,Camilla Engevik,KlippekortiStock,,Saving lives with a smile,Cropped portrait of a handsome young male doctor standing with his arms folded in the hospital,E+,E Plus,7096 x 4736 px (60.08 x 40.10 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
822860230,2020-04-08T05:56:58.8329771,,Illustrations,Camilla Engevik,KlippekortiStock,,Cartoon man rides a bike isolated,Smiling man in helmet on the bike looking back laughs and points a finger to someone or something,iStock,iStockphoto,Vector (EPS) – Scalable to any size,,SKILLS HO (C.E),
884110772,2020-04-08T05:56:58.8309329,,Illustrations,Camilla Engevik,KlippekortiStock,,Cyclist falling down from the bicycle isolated,Cyclist man gets into a sewer manhole and falls down from the bicycle,iStock,iStockphoto,Vector (EPS) – Scalable to any size,,SKILLS HO (C.E),
1037039632,2020-04-08T05:56:58.8287895,,Illustrations,Camilla Engevik,KlippekortiStock,,"Injured cyclist, broken bike and two physicians illustration","Two physicians carry injured cyclist with bandage on leg, broken bike in a stretcher isolated on white illustration",iStock,iStockphoto,Vector (EPS) – Scalable to any size,,SKILLS HO (C.E),
1098406960,2020-04-08T05:56:58.82688,,Photos,Camilla Engevik,KlippekortiStock,,Man walking along a country road in snow blizzard conditions. Composite image.,Man walking along a country road in snow blizzard conditions. Composite image.,E+,E Plus,7200 x 4800 px (60.96 x 40.64 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
625659872,2020-04-08T05:56:58.8247649,,Photos,Camilla Engevik,KlippekortiStock,,Bound foot of a 97 years old Chinese old woman,"Close up of bound foot of a 97 years old Chinese old woman, born in 1919, the last generation that bind the feet of woman",iStock,iStockphoto,5472 x 3648 px (46.33 x 30.89 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
90945273,2020-04-08T05:56:58.8227574,,Photos,Camilla Engevik,KlippekortiStock,,American History 2,"",E+,E Plus,4288 x 2848 px (36.31 x 24.11 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
496682458,2020-04-08T05:56:58.8207221,,Photos,Camilla Engevik,KlippekortiStock,,Diverse young couple,Black young woman posing with her caucasian boyfriend,E+,E Plus,5800 x 3871 px (49.11 x 32.77 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1134291628,2020-04-08T05:56:58.8182764,,Photos,Camilla Engevik,KlippekortiStock,,Male Manager Shaking Hands With Female Applicant,Male Manager Shaking Hands With Female Applicant,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
487594640,2020-04-08T05:56:58.8160636,,Illustrations,Camilla Engevik,KlippekortiStock,,Coat of arms of the United States of America,National coat of arms of the United States of America.,iStock,iStockphoto,7071 x 7071 px (59.87 x 59.87 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
496824310,2020-04-08T05:56:58.8141475,,Photos,Camilla Engevik,KlippekortiStock,,"China Town in London, UK at night","London, UK - March 21, 2015: China Town in London. Photo taken at night and contains many people and local businesses in the background.",iStock Unreleased,iStock Unreleased,6016 x 4000 px (50.94 x 33.87 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
911026578,2020-04-08T05:56:58.8122054,,Photos,Camilla Engevik,KlippekortiStock,,Walking to Class,High school students walking to their next class.,E+,E Plus,5040 x 3360 px (42.67 x 28.45 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
971388782,2020-04-08T05:56:58.8103699,,Photos,Camilla Engevik,KlippekortiStock,,Grandfather and grandson in garden,Grandfather and grandson playing in backyard with gardening tools,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
520263563,2020-04-08T05:56:58.8085329,,Photos,Camilla Engevik,KlippekortiStock,,Young Girl Pushing Grandmother In Wheelchair,A 12 year old girl pushing her 87 year old grandmother in a wheelchair outdoors.,E+,E Plus,3744 x 5616 px (31.70 x 47.55 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
936395234,2020-04-08T05:56:58.8066654,,Photos,Camilla Engevik,KlippekortiStock,,Long nightwear for women,Long nightwear for woman in blue color,iStock,iStockphoto,5773 x 8660 px (48.88 x 73.32 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
498334211,2020-04-08T05:56:58.8049846,,Photos,Camilla Engevik,KlippekortiStock,,They love the rain,Shot of a young brother and sister playing in the rainhttp://195.154.178.81/DATA/i_collage/pi/shoots/783464.jpg,E+,E Plus,5939 x 3747 px (50.28 x 31.72 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1147975279,2020-04-08T05:56:58.8032294,,Photos,Camilla Engevik,KlippekortiStock,,Surgeon Visiting And Shaking Hands With Mature Female Patient In Hospital Bed,Surgeon Visiting And Shaking Hands With Mature Female Patient In Hospital Bed,iStock,iStockphoto,5360 x 3574 px (45.38 x 30.26 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
481104747,2020-04-08T05:56:58.8014225,,Photos,Camilla Engevik,KlippekortiStock,,Diaper Change,Father changing baby's diaper.,iStock,iStockphoto,4912 x 7360 px (41.59 x 62.31 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1059416456,2020-04-08T05:56:58.7996025,,Photos,Camilla Engevik,KlippekortiStock,,Young patient hospitalized lying down on bed looking to the window depressed,Young female patient hospitalized lying down on bed looking to the window depressed,E+,E Plus,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
185230347,2020-04-08T05:56:58.797845,,Photos,Camilla Engevik,KlippekortiStock,,In the ear hearing aid,Tiny ITE hearing aid.More hearing and Ear health related files at:,iStock,iStockphoto,5185 x 3744 px (43.90 x 31.70 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1146914134,2020-04-08T05:56:58.7959532,,Photos,Camilla Engevik,KlippekortiStock,,Happy senior woman at doctor's office,A senior woman talks to her doctor about some recent struggles she is going through. She looks very optimistic.,E+,E Plus,5983 x 4196 px (50.66 x 35.53 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
470870888,2020-04-08T05:56:58.7941018,,Illustrations,Camilla Engevik,KlippekortiStock,,"human body anatomy,","human body anatomy, vector medical organs system, ",iStock,iStockphoto,Vector (EPS) – Scalable to any size,,SKILLS HO (C.E),
1032210094,2020-04-08T05:56:58.7921707,,Photos,Camilla Engevik,KlippekortiStock,,Teenage girl with attitude argues with mom,Upset teenage girl gestures while having an intense argument with her mother.,E+,E Plus,3774 x 2122 px (31.95 x 17.97 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
534642701,2020-04-08T05:56:58.7901935,,Photos,Camilla Engevik,KlippekortiStock,,"Sheep, Marlborough Sounds, New Zealand","Sheep at the Marlborough Sounds (Okuri Bay), South Island, New Zealand",E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
513297682,2020-04-08T05:56:58.7882419,,Photos,Camilla Engevik,KlippekortiStock,,Stunning views at Revelstoke Mountain Resort,Snowboarder enjoying stunning views at Revelstoke Mountain Resort,E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
157672506,2020-04-08T05:56:58.7860282,,Photos,Camilla Engevik,KlippekortiStock,,trash on the beach,trash on the beach,E+,E Plus,4256 x 2832 px (36.03 x 23.98 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
528607561,2020-04-08T05:56:58.783881,,Photos,Camilla Engevik,KlippekortiStock,,Welcome to Bollywood,Welcome to fabulous Bollywood sign,iStock,iStockphoto,2693 x 1880 px (22.80 x 15.92 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1017628288,2020-04-08T05:56:58.7816048,,Photos,Camilla Engevik,KlippekortiStock,,Happy  african family  together using laptop,Happy  african family  together using laptop,E+,E Plus,3880 x 2746 px (32.85 x 23.25 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
841336814,2020-04-08T05:56:58.7794911,,Photos,Camilla Engevik,KlippekortiStock,,european red fox brothers standing together near the den,european red fox brothers standing together near the den ( Vulpes ),iStock,iStockphoto,3000 x 2000 px (25.40 x 16.93 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1133987482,2020-04-08T05:56:58.7774734,,Photos,Camilla Engevik,KlippekortiStock,,Couple talking standing in a colorful street,Couple talking standing in a colorful street,iStock,iStockphoto,5472 x 3648 px (46.33 x 30.89 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
940206778,2020-04-08T05:56:58.7719112,,Photos,Camilla Engevik,KlippekortiStock,,Sleepy toddler girl in bed,Cute toddler girl enjoying her time on a fresh clean bed.,E+,E Plus,5472 x 3648 px (46.33 x 30.89 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
566188109,2020-04-02T08:38:44.0093414,,Photos,Camilla Engevik,Easy-access,,Busy beaver,"A beaver throws some twigs on top of his dam as his partner eats some grass near the shore. Taken in Grand Teton National Park, Wyoming.",Moment,Moment RF,8000 x 5333 px (67.73 x 45.15 cm) - 300 dpi - RGB,,Salto 2A eb KAH,
1136595023,2020-04-02T02:51:48.9854005,,Photos,Camilla Engevik,KlippekortiStock,,Teenage boy listening to music while doing homework,Teenage boy listening to music while doing homework,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,"Relevans 8, LA",Duplicate download
1136595023,2020-04-02T02:51:18.4398449,,Photos,Camilla Engevik,KlippekortiStock,,Teenage boy listening to music while doing homework,Teenage boy listening to music while doing homework,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1037804550,2020-03-30T22:42:47.3386276,,Illustrations,Camilla Engevik,KlippekortiStock,,Nicolaus Copernicus,"NICOLAUS COPERNICUS; 19 February 1473 – 24 May 1543) was a Renaissance-era mathematician and astronomer,edited and engraved in 1894.",DigitalVision Vectors,Digital Vision Vectors,4655 x 8500 px (39.41 x 71.97 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
134729457,2020-03-30T22:42:47.3354424,,Photos,Camilla Engevik,KlippekortiStock,,Big brown trout swimming in the water,"Single trout swimming in blue, green   water in stream or lake with water bubbles",iStock,iStockphoto,5616 x 3744 px (47.55 x 31.70 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
508135150,2020-03-30T22:42:47.3321614,,Photos,Camilla Engevik,KlippekortiStock,,Sustainable world concept.,Sustainable world concept. 3D computer generated image.,iStock,iStockphoto,7500 x 5339 px (63.50 x 45.20 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
1045021698,2020-03-30T22:42:47.3287827,,Photos,Camilla Engevik,KlippekortiStock,,Digital Composite Images Of Tokyo Office Buildings At Dusk,multiple exposure images of Tokyo office buildings at night,iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
1063449848,2020-03-30T22:42:47.3255578,,Photos,Camilla Engevik,KlippekortiStock,,Antibiotic on a Black Background,Antibiotic on a Black Background.,iStock,iStockphoto,5184 x 3456 px (43.89 x 29.26 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
912318186,2020-03-30T22:42:47.3224108,,Photos,Camilla Engevik,KlippekortiStock,,Colorful plastic handbag,Pretty souvenirs from Mexico,iStock,iStockphoto,6016 x 4016 px (50.94 x 34.00 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
1186357945,2020-03-30T22:42:47.3192125,,Photos,Camilla Engevik,KlippekortiStock,,"Cacao beans, powder, cacao butter,  chocolate bar and chocolate sauce","Cacao beans, powder, cacao butter,  chocolate bar and chocolate sauce on wooden background",iStock,iStockphoto,6343 x 4229 px (53.70 x 35.81 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
1134264053,2020-03-30T22:42:47.3160394,,Photos,Camilla Engevik,KlippekortiStock,,Using online resources to complete university projects,High angle shot of an unrecognizable female student using her laptop while sitting outside on campus,E+,E Plus,6016 x 4085 px (50.94 x 34.59 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
586941184,2020-03-30T22:42:47.3126768,,Photos,Camilla Engevik,KlippekortiStock,,Swedish girl and bicycle in traffic,"Girl and bicycle, traffic in background",E+,E Plus,3280 x 4928 px (27.77 x 41.72 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
932644838,2020-03-30T22:42:47.3036786,,Photos,Camilla Engevik,KlippekortiStock,,"Woman hand touching wheat spikes. Tuscany, Italy, Europe","Woman hand touching wheat spikes. Tuscany, Italy, Europe",iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,Senit YF HO (C.E),
904818598,2020-03-29T12:59:21.9486299,,Photos,Camilla Engevik,KlippekortiStock,,Teens With Technology,A group of teenagers are sitting in front of a wall covered in graffiti. They are wearing stylish clothes. A boy and girl are looking at a smartphone screen together.,E+,E Plus,4245 x 2830 px (35.94 x 23.96 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1132928752,2020-03-29T12:59:21.943922,,Photos,Camilla Engevik,KlippekortiStock,,Leadership Concept With Paper Airplanes,"Group of paper plane in one direction and with one individual pointing in the different way, can be used leadership/individuality concepts.( 3d render )",E+,E Plus,7000 x 4200 px (59.27 x 35.56 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1162215474,2020-03-29T12:59:21.9337687,,Photos,Camilla Engevik,KlippekortiStock,,Embarrassed teenage boy hides face while friends watch his video,A group of teenage girls laugh at a video assignment made by their male friend. The teenage boy hides his face in embarrassment while the teenage girls watch the video on a laptop.,E+,E Plus,5305 x 3536 px (44.92 x 29.94 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1030307374,2020-03-29T12:59:21.9292166,,Photos,Camilla Engevik,KlippekortiStock,,Unhappy Teenage Girl Being Gossiped About By Peers,Unhappy Teenage Girl Being Gossiped About By Peers,iStock,iStockphoto,4803 x 3202 px (40.67 x 27.11 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1031886102,2020-03-29T12:59:21.9242606,,Photos,Camilla Engevik,KlippekortiStock,,Happy female couple hugging and kissing at the gay pride parade,"Beautiful young females marching at the gay pride, looking at camera and hugging",E+,E Plus,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1070396034,2020-03-29T12:59:21.9199641,,Photos,Camilla Engevik,KlippekortiStock,,Female activist shouting on a megaphone,Female activist shouting on a megaphone,iStock,iStockphoto,4698 x 3626 px (39.78 x 30.70 cm) - 300 dpi - RGB,,"Relevans 8, LA",
637202098,2020-03-29T12:59:21.9154202,,Photos,Camilla Engevik,KlippekortiStock,,"African children in the school under tree, Kenya, East Africa","African children  from Maasai tribe during classes under the acacia tree in remote village, Kenya, East Africa. Maasai tribe inhabiting southern Kenya and northern Tanzania, and they are related to the Samburu.",E+,E Plus,5616 x 3744 px (47.55 x 31.70 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1154945979,2020-03-29T12:59:21.9104996,,Photos,Camilla Engevik,KlippekortiStock,,Kids playing underwater in pool,"Happy kids having underwater party in the swimming pool. The boy is grinning at the camera. 
Shot with Nikon D850.",E+,E Plus,8255 x 5504 px (69.89 x 46.60 cm) - 300 dpi - RGB,,"Relevans 8, LA",Duplicate download
613314366,2020-03-29T12:59:21.9061939,,Photos,Camilla Engevik,KlippekortiStock,,Home Caregiver with senior woman in bathroom,"Home Caregiver with senior woman in bathroom, senior woman sitting in a wheelchair",E+,E Plus,5580 x 3720 px (47.24 x 31.50 cm) - 300 dpi - RGB,,"Relevans 8, LA",
999231426,2020-03-29T12:59:21.9018094,,Photos,Camilla Engevik,KlippekortiStock,,Close Up Of A Line Of High School Students Using Mobile Phones,Close Up Of A Line Of High School Students Using Mobile Phones,iStock,iStockphoto,5351 x 3567 px (45.31 x 30.20 cm) - 300 dpi - RGB,,"Relevans 8, LA",
879045206,2020-03-29T12:59:21.8975809,,Photos,Camilla Engevik,KlippekortiStock,,Close Up Of Seated College Students Using Digital Technology,Close Up Of Seated College Students Using Digital Technology,iStock,iStockphoto,3648 x 5472 px (30.89 x 46.33 cm) - 300 dpi - RGB,,"Relevans 8, LA",
92844444,2020-03-29T12:59:21.8933193,,Illustrations,Camilla Engevik,KlippekortiStock,,Illustration of woman using spinning Jenny,"",PHOTOS.com>>,Photos.com,4828 x 3582 px (40.88 x 30.33 cm) - 300 dpi - RGB,,"Relevans 8, LA",
471506153,2020-03-29T12:59:21.8886235,,Photos,Camilla Engevik,KlippekortiStock,,Industrial landscape pollution,"Dirty water flowing into the lake and nuclear power plant. See my similar pictures in the lightbox ""Industry, Technology, Environment"": ",iStock,iStockphoto,2100 x 3155 px (17.78 x 26.71 cm) - 300 dpi - RGB,,"Relevans 8, LA",
463946521,2020-03-29T12:59:21.8843407,,Photos,Camilla Engevik,KlippekortiStock,,"Colourful Spice Market in Morocco, Africa","A spice vendor's display at a local market in Morocco: colorful, powdered spices in large pots, Africa.",iStock,iStockphoto,6048 x 3372 px (51.21 x 28.55 cm) - 300 dpi - RGB,,"Relevans 8, LA",
535451545,2020-03-29T12:59:21.8800806,,Photos,Camilla Engevik,KlippekortiStock,,nugget gold,Closeup of big gold nugget,iStock,iStockphoto,5093 x 3395 px (43.12 x 28.74 cm) - 300 dpi - RGB,,"Relevans 8, LA",
462973447,2020-03-29T12:59:21.8757804,,Illustrations,Camilla Engevik,KlippekortiStock,,Engraving of german chancellor Otto von Bismarck 1881,http://farm5.static.flickr.com/4110/4948325162_1323a54a89.jpg,DigitalVision Vectors,Digital Vision Vectors,3774 x 5489 px (31.95 x 46.47 cm) - 300 dpi - RGB,,"Relevans 8, LA",
825129366,2020-03-29T12:59:21.8714784,,Photos,Camilla Engevik,KlippekortiStock,,Maori Performers during the  'Rainbows of Paradise' Pageant,"Honolulu, Hawaii - May 27, 2016: Maori Performers during the  'Rainbows of Paradise' Pageant at the Polynesian Cultural Center on Oahu.",iStock Editorial,iStock Editorial,4272 x 2848 px (36.17 x 24.11 cm) - 300 dpi - RGB,,"Relevans 8, LA",
619976850,2020-03-29T12:59:21.8670974,,Photos,Camilla Engevik,KlippekortiStock,,"Peruvian women in national clothing crossing field, The Sacred Valley","The Sacred Valley of the Incas or Urubamba Valley is a valley in the Andes  of Peru, close to the Inca  capital of Cusco and below the ancient sacred city of Machu Picchu. The valley is generally understood  to include everything between Pisac  and Ollantaytambo, parallel to the Urubamba River, or Vilcanota  River or Wilcamayu, as this Sacred river is called when passing through the valley. It is fed by  numerous rivers which descend through adjoining valleys and gorges, and contains numerous  archaeological remains and villages. The valley was appreciated by the Incas due to its special  geographical and climatic qualities. It was one of the empire's main points for the extraction of  natural wealth, and the best place for maize production in Peru.http://bhphoto.pl/IS/peru_380.jpg",E+,E Plus,3744 x 3744 px (31.70 x 31.70 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1090245720,2020-03-29T12:59:21.8623428,,Photos,Camilla Engevik,KlippekortiStock,,"Human hand cupped to catch fresh water from mountain lake, Switzerland","Human hand cupped to catch the fresh water from the lake, reflection on water surface
Shot in Switzerland",iStock,iStockphoto,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,"Relevans 8, LA",
94368029,2020-03-29T12:59:21.8580687,,Photos,Camilla Engevik,KlippekortiStock,,Bee,"",E+,E Plus,3009 x 2064 px (25.48 x 17.48 cm) - 300 dpi - RGB,,"Relevans 8, LA",
463465075,2020-03-29T12:59:21.8538141,,Photos,Camilla Engevik,KlippekortiStock,,"Polarfuchs, Eisfuchs, Alopex lagopus, Arctic fox","Polarfuchs, Eisfuchs, Alopex lagopus, Arctic fox",iStock,iStockphoto,4096 x 2731 px (34.68 x 23.12 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1154922467,2020-03-29T12:59:21.8493163,,Photos,Camilla Engevik,KlippekortiStock,,Close up of water falling on transparent water surface,Close up of water falling on transparent water surface,iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,"Relevans 8, LA",
116383317,2020-03-29T12:59:21.8449527,,Photos,Camilla Engevik,KlippekortiStock,,Industry in the Amazon,Extraction of bauxite in the middle of the Amazon.,E+,E Plus,2300 x 1511 px (19.47 x 12.79 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1141654520,2020-03-29T12:59:21.8404509,,Photos,Camilla Engevik,KlippekortiStock,,I have to be preparid for my show,Concentrated boy taking the lead of his radio station,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1144395146,2020-03-29T12:59:21.8356705,,Photos,Camilla Engevik,KlippekortiStock,,Attractive teenage girl tutors classmates,Students get together before science class for extra help from a classmate.,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,"Relevans 8, LA",
179004410,2020-03-29T12:59:21.8312479,,Photos,Camilla Engevik,KlippekortiStock,,Pre Teen with Red Hair and Brown Eyes,"""High key image of a pretty preteen girl with long red hair and brown eyes. Room for Copy.Color space is ProPhoto, RGB, processed from a 16 bit RAW image.View Similar Images Here:""",iStock,iStockphoto,3888 x 2592 px (32.92 x 21.95 cm) - 300 dpi - RGB,,"Relevans 8, LA",Duplicate download
1032472064,2020-03-29T12:56:57.7148456,,Photos,Camilla Engevik,KlippekortiStock,,Student giving presentation in classroom at class,Male student giving presentation in classroom. Professor and students are looking at him. Teenage boy is standing against whiteboard.,E+,E Plus,8658 x 5775 px (73.30 x 48.90 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1085356470,2020-03-29T12:56:25.7221415,,Photos,Camilla Engevik,KlippekortiStock,,Woman with camera taking picture in the street,Woman with camera taking picture in the street,E+,E Plus,6720 x 2859 px (56.90 x 24.21 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1158012576,2020-03-29T11:42:19.7655709,,Photos,Camilla Engevik,KlippekortiStock,,Preparing for Exams,Teenage boy lying on his bed while concentrating on homework for his exams.,E+,E Plus,6432 x 4288 px (54.46 x 36.31 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1174948173,2020-03-29T11:41:12.0046759,,Photos,Camilla Engevik,KlippekortiStock,,soft blue wig fashion portrait teen girl,soft blue wig fashion portrait girl teenager on coral color background,iStock,iStockphoto,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,"Relevans 8, LA",Duplicate download
1174948173,2020-03-29T11:34:51.8691589,,Photos,Camilla Engevik,KlippekortiStock,,soft blue wig fashion portrait teen girl,soft blue wig fashion portrait girl teenager on coral color background,iStock,iStockphoto,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,"Relevans 8, LA",
941789722,2020-03-29T11:34:19.5466607,,Photos,Camilla Engevik,KlippekortiStock,,Pretty young woman talking with her mother,Pretty young woman talking with her mother at home and smiling,E+,E Plus,5616 x 3744 px (47.55 x 31.70 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1155615768,2020-03-29T11:33:27.9936879,,Photos,Camilla Engevik,KlippekortiStock,,"Halloween Costume Party: Old Skinny and Bandaged Mummy Dances. In the Background Zombie, Death, Witch and She Devil Have Fun in a Monster Party Decorated Room","Halloween Costume Party: Old Skinny and Bandaged Mummy Dances. In the Background Zombie, Death, Witch and She Devil Have Fun in a Monster Party Decorated Room",iStock,iStockphoto,5120 x 2880 px (43.35 x 24.38 cm) - 300 dpi - RGB,,"Relevans 8, LA",Duplicate download
1155615768,2020-03-29T11:33:21.2638522,,Photos,Camilla Engevik,KlippekortiStock,,"Halloween Costume Party: Old Skinny and Bandaged Mummy Dances. In the Background Zombie, Death, Witch and She Devil Have Fun in a Monster Party Decorated Room","Halloween Costume Party: Old Skinny and Bandaged Mummy Dances. In the Background Zombie, Death, Witch and She Devil Have Fun in a Monster Party Decorated Room",iStock,iStockphoto,5120 x 2880 px (43.35 x 24.38 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1181889652,2020-03-29T11:32:55.5411952,,Photos,Camilla Engevik,KlippekortiStock,,Girl in costume Spooky white ghost with black eyes on a gray background. Halloween minimal concept,Girl in costume Spooky white ghost with black eyes on a gray background. Halloween minimal concept,iStock,iStockphoto,7238 x 4998 px (61.28 x 42.32 cm) - 300 dpi - RGB,,"Relevans 8, LA",
492956948,2020-03-29T11:32:26.0636971,,Photos,Camilla Engevik,KlippekortiStock,,female carpenter screwing her work together,A young female carpenter looks to camera from her drill in a  factory workshop. She is wearing ear defenders and safety goggles and drilling into a shelving unit that she is making. In the background a male co-worker is lining up his work before getting started on his cutting .,E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1006632972,2020-03-29T11:32:07.3901189,,Photos,Camilla Engevik,KlippekortiStock,,Volunteers with garbage bags,"Group of multi-ethnic people, people with differing abilities , volunteers with garbage bags cleaning park area",E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,"Relevans 8, LA",
1136820929,2020-03-29T11:31:51.3242693,,Photos,Camilla Engevik,KlippekortiStock,,Lovely family enjoying day at home,"Family with one child laying on bed, enjoying day at home",E+,E Plus,8660 x 5773 px (73.32 x 48.88 cm) - 300 dpi - RGB,,"Relevans 8, LA",
92210690,2020-03-29T11:31:21.6272472,,Photos,Camilla Engevik,KlippekortiStock,,Tiger cub suck milk from bottle,"",iStock,iStockphoto,4256 x 2832 px (36.03 x 23.98 cm) - 300 dpi - RGB,,"Relevans 8, LA",
