Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
887437018,2020-04-19T22:31:10.5481001,,Photos,Camilla Engevik,KlippekortiStock,,Caring for seniors is a labor of love,Cropped shot of a nurse holding a senior woman's hands in comfort,E+,E Plus,6580 x 4912 px (55.71 x 41.59 cm) - 300 dpi - RGB,,Mønster HO (C.E),
182426625,2020-04-19T22:31:10.5457816,,Photos,Camilla Engevik,KlippekortiStock,,chess game with rice,"""based on the famous chinese saga, where the farmer tricked the king with the rice and the chessboard""",iStock,iStockphoto,4256 x 2832 px (36.03 x 23.98 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1167141777,2020-04-19T22:31:10.5438651,,Illustrations,Camilla Engevik,KlippekortiStock,,Medicine deliver pharmacy. Female doctor riding electric scooter with medical surgical sanitary box first aid on city street map plan with GPS pins and navigation route. Vector illustration,Medicine deliver pharmacy. Female doctor riding electric scooter with medical surgical sanitary box first aid on city street map plan with GPS pins and navigation route. Vector delivery illustration,iStock,iStockphoto,Vector (EPS) – Scalable to any size,,Mønster HO (C.E),
904794116,2020-04-19T22:31:10.5419944,,Photos,Camilla Engevik,KlippekortiStock,,Doctor checking iv drip over senior patient,Doctor standing by senior patient. Female practitioner is checking IV drip. They are in hospital.,E+,E Plus,8658 x 5775 px (73.30 x 48.90 cm) - 300 dpi - RGB,,Mønster HO (C.E),
682632944,2020-04-19T22:31:10.5397168,,Photos,Camilla Engevik,KlippekortiStock,,Delivering Groceries To The Elderly,Teenage boy is delivering some groceries to an elderly woman. He is handing her a shopping bag at her front door.,iStock,iStockphoto,5070 x 3380 px (42.93 x 28.62 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1183051381,2020-04-19T22:31:10.5371106,,Photos,Camilla Engevik,KlippekortiStock,,pre-school stepping stones,nursery worker with child in playground,E+,E Plus,5395 x 8092 px (45.68 x 68.51 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1092271420,2020-04-19T22:31:10.5345252,,Photos,Camilla Engevik,KlippekortiStock,,Having Fun Washing the Dishes,Two children and their Mother washing the dishes in the kitchen sink.,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1057253610,2020-04-19T22:31:10.5323073,,Photos,Camilla Engevik,KlippekortiStock,,Small business owener,"Women, owener of small business packing product in boxes, preparing it for delivery.",E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1046843180,2020-04-19T22:31:10.530033,,Photos,Camilla Engevik,KlippekortiStock,,Happy woman shopping at a furniture store,Happy woman shopping at a furniture store and looking at a dining room while smiling - lifestyle concepts,E+,E Plus,7714 x 5066 px (65.31 x 42.89 cm) - 300 dpi - RGB,,Mønster HO (C.E),
493712472,2020-04-19T22:31:10.5218004,,Photos,Camilla Engevik,KlippekortiStock,,Tallinn. Young children for a walk,"Tallinn, Estonia - October 19, 2015: A kindergarten teacher with small children dressed in reflective safety vests for a walk in the park in Tallinn.",iStock Editorial,iStock Editorial,3500 x 2333 px (29.63 x 19.75 cm) - 300 dpi - RGB,,Mønster HO (C.E),
530412490,2020-04-18T10:04:49.7381378,,Photos,Camilla Engevik,KlippekortiStock,,beautiful senior woman portrait happiness,"Portrait of a beautiful senior woman, wonderful blue eyes, looking into camera,smiling",E+,E Plus,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
535400455,2020-04-17T10:05:15.1851118,,Photos,Camilla Engevik,KlippekortiStock,,Discovering the mysteries of nature,Three kids aged 5 and 8 examining a roman snail in the grass.,E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
96465598,2020-04-17T04:53:00.7182874,,Photos,Camilla Engevik,KlippekortiStock,,A woman answers the door to her friend,Young woman answering door for friend.,iStock,iStockphoto,3000 x 2000 px (25.40 x 16.93 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1010610104,2020-04-17T04:41:02.0973499,,Photos,Camilla Engevik,KlippekortiStock,,Wheelbarrow race in the park,fun game in the park,E+,E Plus,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1030071470,2020-04-17T04:37:16.1433471,,Photos,Camilla Engevik,KlippekortiStock,,Aboriginal primary school teacher helping young boy in the classroom,Australian female primary school teacher working with children offering support and guidance,E+,E Plus,8256 x 5504 px (69.90 x 46.60 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
509623015,2020-04-17T04:31:14.2952572,,Photos,Camilla Engevik,KlippekortiStock,,Group of people on Trolltunga,"Trolltunga, Norway - july 30, 2014: Group of people on Trolltunga. Trolltunga rock with a characteristic shape located in Norway on the border of the Hardangervidda plateau, close to the town Tyssedal. It is a popular tourist attraction in Norway and heavily visited by tourists during the summer months.",iStock Unreleased,iStock Unreleased,5616 x 3744 px (47.55 x 31.70 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
696597750,2020-04-17T04:25:51.5972923,,Photos,Camilla Engevik,KlippekortiStock,,Women Going To Work,Businesswomen are walking to work together through the city. They are talking and one is holding a coffee while the other is holding a smartphone.,iStock,iStockphoto,4758 x 3172 px (40.28 x 26.86 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1045328078,2020-04-17T04:23:59.7332119,,Photos,Camilla Engevik,KlippekortiStock,,Male teacher working with elementary school boy at his desk,Male teacher working with elementary school boy at his desk,iStock,iStockphoto,5472 x 3648 px (46.33 x 30.89 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
912567948,2020-04-17T04:21:13.2913427,,Photos,Camilla Engevik,KlippekortiStock,,Syrian refugee in Europe,Horizontal color image of a real life Syrian refugee in Amsterdam. Copy space right.,E+,E Plus,5600 x 3737 px (47.41 x 31.64 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1141392219,2020-04-17T04:16:29.3552439,,Photos,Camilla Engevik,KlippekortiStock,,Muslim woman with friend,Cheerful african american woman in conversation with muslim girl. Happy multiethnic friends in street looking at each other while in a conversation. Beautiful woman with friend in hijab talking to each others.,iStock,iStockphoto,6880 x 4584 px (58.25 x 38.81 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
180827617,2020-04-14T22:21:28.1163309,,Photos,Camilla Engevik,KlippekortiStock,,"Mexican redknee tarantula (Brachypelma smithi), spider female","Mexican redknee tarantula (Brachypelma smithi), spider female",iStock,iStockphoto,4000 x 3000 px (33.87 x 25.40 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
476988944,2020-04-14T22:05:17.0814851,,Photos,Camilla Engevik,KlippekortiStock,,Woman adding salt from shaker to cooking pot in kitchen,Midsection image of woman adding salt to cooking pan. She is holding salt shaker. Utensil is placed on gas stove. Close-up of female seasoning her dish. She is preparing food in domestic kitchen.,iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,Senit SF (C.E),
900966108,2020-04-14T07:33:26.7274352,,Photos,Camilla Engevik,KlippekortiStock,,Confident African American schoolgirl,Cute African American elementary schoolgirl prepares to board school bus. The bus is in the background.,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
149137034,2020-04-14T03:16:48.6104174,,Photos,Camilla Engevik,KlippekortiStock,,limestone cottage bilbury cotswalds uk,"small golden limestone cottage in the village of bilbury in the cotswalds, gloucestershire, england",iStock,iStockphoto,3321 x 2214 px (28.12 x 18.75 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1002732376,2020-04-14T03:16:48.607975,,Photos,Camilla Engevik,KlippekortiStock,,High school students learning robotics,Group of school children learning robotics during engineering science project.,E+,E Plus,5517 x 3678 px (46.71 x 31.14 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
180754405,2020-04-14T03:16:48.6052428,,Photos,Camilla Engevik,KlippekortiStock,,Flying Bat,This is a grey headed flying fox in mid air. See the amazing vein structure in the wings.,iStock,iStockphoto,1713 x 2569 px (14.50 x 21.75 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
820673956,2020-04-14T03:16:48.6026675,,Photos,Camilla Engevik,KlippekortiStock,,Portrait of little girl smiling on background of green grass,Portrait of little girl smiling on background of the green grass,iStock,iStockphoto,5760 x 3608 px (48.77 x 30.55 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
160433925,2020-04-14T03:16:48.6000124,,Photos,Camilla Engevik,KlippekortiStock,,Little girl on the beach,Little Caucasian girl holding flowers on a deserted beach in Ireland,iStock,iStockphoto,4368 x 2912 px (36.98 x 24.65 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
